"","IMPORTETOTAL","SEXO","FORMAPAGO","ESTADOCIVIL"
"1",66.675,"Mujer","Tarjeta Débito","Casado/a"
"2",13.5525,"Mujer","Tarjeta Débito","Casado/a"
"3",11.75,"Mujer","Tarjeta de Crédito","Casado/a"
"4",5.5,"Mujer","Tarjeta de Crédito","Casado/a"
"5",11,"Hombre","Efectivo","Casado/a"
"6",33.1125,"Hombre","Efectivo","Casado/a"
"7",17.98,"Mujer","Tarjeta Débito","Divorciado/a"
"8",7.62,"Mujer","Efectivo","Casado/a"
"9",35.975,"Mujer","Efectivo","Casado/a"
"10",5.5,"Empresa","Tarjeta de Crédito",""
"11",9.5875,"Empresa","Tarjeta de Crédito",""
"12",5.5625,"Empresa","Tarjeta de Crédito",""
"13",17.1,"Empresa","Tarjeta de Crédito",""
"14",15.8125,"Empresa","Tarjeta Débito",""
"15",49.175,"Empresa","Tarjeta de Crédito",""
"16",12.45,"Mujer","Tarjeta Débito","Soltero/a"
"17",19.41,"Mujer","Tarjeta Débito","Soltero/a"
"18",7.95,"Mujer","Efectivo","Soltero/a"
"19",4.975,"Hombre","Tarjeta Débito","Casado/a"
"20",12.11,"Hombre","Tarjeta de Crédito","Casado/a"
"21",55.83,"Empresa","Tarjeta Débito",""
"22",9.26,"Empresa","Tarjeta de Crédito",""
"23",35.53,"Empresa","Tarjeta de Crédito",""
"24",24.875,"Empresa","Tarjeta de Crédito",""
"25",62.59,"Hombre","Tarjeta Débito","Casado/a"
"26",99.97,"Hombre","Tarjeta de Crédito","Casado/a"
"27",110.63,"Empresa","Tarjeta Débito",""
"28",220.22,"Empresa","Tarjeta de Crédito",""
"29",3.99,"Mujer","Tarjeta de Crédito","Soltero/a"
"30",15.02,"Mujer","Tarjeta de Crédito","Soltero/a"
"31",4.975,"Mujer","Tarjeta Débito","Soltero/a"
"32",24.37,"Mujer","Efectivo","Soltero/a"
"33",14.375,"Mujer","Efectivo","Casado/a"
"34",13.7,"Mujer","Tarjeta de Crédito","Casado/a"
"35",29.725,"Mujer","Tarjeta Débito","Casado/a"
"36",61.5,"Mujer","Tarjeta Débito","Casado/a"
"37",9.5875,"Hombre","Efectivo","Soltero/a"
"38",20.745,"Hombre","Tarjeta Débito","Soltero/a"
"39",16.025,"Hombre","Efectivo","Casado/a"
"40",18.9125,"Hombre","Tarjeta de Crédito","Casado/a"
"41",44.91,"Hombre","Tarjeta Débito","Casado/a"
"42",11.12,"Hombre","Tarjeta Débito","Divorciado/a"
"43",106.06,"Hombre","Tarjeta de Crédito","Divorciado/a"
"44",10.9625,"Mujer","Tarjeta Débito","Casado/a"
"45",25.2,"Mujer","Tarjeta de Crédito","Casado/a"
"46",6.475,"Mujer","Efectivo","Casado/a"
"47",5.5,"Mujer","Tarjeta de Crédito","Divorciado/a"
"48",5.5,"Mujer","Tarjeta de Crédito","Divorciado/a"
"49",15.74,"Hombre","Tarjeta Débito","Casado/a"
"50",27.48,"Empresa","Tarjeta de Crédito",""
"51",58.57,"Empresa","Efectivo",""
"52",15.01,"Hombre","Tarjeta Débito","Divorciado/a"
"53",8.36,"Hombre","Tarjeta de Crédito","Divorciado/a"
"54",27.875,"Hombre","Efectivo","Divorciado/a"
"55",37.575,"Mujer","Tarjeta de Crédito","Viudo/a"
"56",5.725,"Empresa","Efectivo",""
"57",44.84,"Mujer","Tarjeta de Crédito","Divorciado/a"
"58",30.9375,"Mujer","Efectivo","Divorciado/a"
"59",18,"Mujer","Tarjeta Débito","Divorciado/a"
"60",29.95,"Mujer","Tarjeta de Crédito","Divorciado/a"
"61",5.5625,"Hombre","Tarjeta de Crédito","Casado/a"
"62",23.5,"Hombre","Tarjeta Débito","Casado/a"
"63",9,"Hombre","Tarjeta de Crédito","Casado/a"
"64",9.475,"Mujer","Tarjeta Débito","Casado/a"
"65",10.3125,"Hombre","Tarjeta de Crédito","Casado/a"
"66",71.97,"Hombre","Tarjeta de Crédito","Casado/a"
