"","CODVENTA","DESCRIPCION"
"1","RO0000000","Merlot 97"
"2","RO0000000","Tinto Reserva 94"
"3","RO0000000","Tinto Reserva 95"
"4","RO0000000","Tinto Crianza 94"
"5","RO0000001","Cru Beaujolais 99"
"6","RO0000001","Merlot 97"
"7","RO0000001","Cabernet Sauvignon 96"
"8","RO0000001","Merlot 97"
"9","RO0000001","Brut Chardonnay Blanc de Blancs"
"10","RO0000002","Tinto Gran Reserva 91"
"11","RO0000003","Tinto Gran Reserva 91"
"12","RO0000003","Bordeaux 97"
"13","RO0000003","Gouda"
"14","RO0000004","Tinto Reserva 95"
"15","RO0000004","Chardonnay 98"
"16","RO0000004","Syrah 96"
"17","RO0000005","Tinto Crianza 96/97"
"18","RO0000005","Layden Gin"
"19","RO0000005","Merlot 97"
"20","RO0000005","Chardonnay 97"
"21","RO0000006","Ibérico"
"22","RO0000006","Semillon 99"
"23","RO0000007","Tinto Gran Reserva 91"
"24","RO0000007","Maasdam"
"25","RO0000007","Blanc de Blancs Brut Premier Cru"
"26","RO0000007","Brut Réserve"
"27","RO0000008","Tinto Reserva 95"
"28","RO0000009","Bordeaux 97"
"29","RO0000009","Manchego"
"30","RO0000010","Bordeaux 97"
"31","RO0000011","Scotch Whiskey 15 años"
"32","RO0000012","Mountain Gorgonzola"
"33","RO0000012","Tinto Gran Reserva 91"
"34","RO0000012","Brutti e Buoni"
"35","RO0000012","Extra Aged Gouda"
"36","RO0000013","Cabernet Franc 97"
"37","RO0000013","Edam"
"38","RO0000013","White Panforte"
"39","RO0000014","Tinto Reserva 94"
"40","RO0000014","Maasdam"
"41","RO0000014","Chardonnay Reserve 97"
"42","RO0000014","Maasdam"
"43","RO0000015","Scotch Whiskey 15 años"
"44","RO0000015","1989 Brut Champagne"
"45","RO0000015","Manchego"
"46","RO0000015","Tinto Reserva 94"
"47","RO0000015","Parmigiano Reggiano"
"48","RO0000016","Provolone"
"49","RO0000016","Bourgogne Rouge 97"
"50","RO0000017","Gruyère de Comté"
"51","RO0000017","Merlot 99"
"52","RO0000018","Maasdam"
"53","RO0000018","Brut de Brut"
"54","RO0000019","Scotch Whiskey 18 años"
"55","RO0000019","Idiazabal"
"56","RO0000020","Manchego"
"57","RO0000021","Mature Cheddar"
"58","RO0000021","Tinto Gran Reserva 82"
"59","RO0000022","Taleggio"
"60","RO0000023","Tinto Reserva 95"
"61","RO0000023","Scotch Whiskey 15 años"
"62","RO0000024","Layden Gin"
"63","RO0000024","Cru Beaujolais 99"
"64","RO0000024","Tinto Gran Reserva 91"
"65","RO0000025","Tiramisú"
"66","RO0000026","Maasdam"
"67","RO0000027","Yalumba Grenache 97"
"68","RO0000027","Camembert"
"69","RO0000028","Chardonnay 97"
"70","RO0000028","Scotch Whiskey 18 años"
"71","RO0000028","Cru Beaujolais 99"
"72","RO0000028","Tinto Gran Reserva 82"
"73","RO0000029","Tinto Reserva 96"
"74","RO0000029","Pinot Noir 97"
"75","RO0000029","Gouda"
"76","RO0000030","Maasdam"
"77","RO0000030","Camembert"
"78","RO0000031","Brutti e Buoni"
"79","RO0000031","Dark Panforte"
"80","RO0000032","Cabernet Sauvignon 96"
"81","RO0000032","Maasdam"
"82","RO0000033","Camembert"
"83","RO0000033","Brut Chardonnay Blanc de Blancs"
"84","RO0000034","Tinto Crianza 96"
"85","RO0000034","Maasdam"
"86","RO0000035","Merlot 97"
"87","RO0000035","Brut Chardonnay Blanc de Blancs"
"88","RO0000035","Brutti e Buoni"
"89","RO0000036","Bordeaux 97"
"90","RO0000036","Polvorones de Estepa"
"91","RO0000036","Brut de Brut"
"92","RO0000037","Maasdam"
"93","RO0000038","Grand Cordon Brut"
"94","RO0000038","Reserve Chardonnay 97"
"95","RO0000038","Tinto Reserva 94"
"96","RO0000039","Reserva Familia"
"97","RO0000039","Tokay Pinot Gris 98"
"98","RO0000039","Swiss Gruyere"
"99","RO0000039","Pinot Noir 97"
"100","RO0000039","Chardonnay 98"
"101","RO0000040","Bordeaux 97"
"102","RO0000040","Mozzarella di Bufala"
"103","RO0000040","Reserve Chardonnay 97"
"104","RO0000040","Mature Cheddar"
"105","RO0000041","Manchego"
"106","RO0000041","Merlot 99"
"107","RO0000041","Bordeaux 97"
"108","RO0000041","Scotch Whiskey 15 años"
"109","RO0000042","Tinto Reserva 94"
"110","RO0000043","Reblochon"
"111","RO0000043","Mozzarella di Bufala"
"112","RO0000043","Tinto Gran Reserva 82"
"113","RO0000044","Tinto Reserva 96"
"114","RO0000044","Asiago"
"115","RO0000044","Polvorones de Estepa"
"116","RO0000045","Blanc de Blancs Grand Cru"
"117","RO0000045","Parmigiano Reggiano"
"118","RO0000045","Manchego"
"119","RO0000046","Blanc de Blancs Premier Cru"
"120","RO0000046","Extra Aged Gouda"
"121","RO0000046","Cabernet Sauvignon 97"
"122","RO0000046","Brut Chardonnay Blanc de Blancs"
"123","RO0000046","Cabernet Franc 97"
"124","RO0000046","Mature Cheddar"
"125","RO0000047","Tinto Crianza 97"
"126","RO0000047","Mountain Gorgonzola"
"127","RO0000047","Semillon 97"
"128","RO0000047","Chenin Blanc 98"
"129","RO0000047","Semillon 99"
"130","RO0000048","Extra Aged Gouda"
"131","RO0000049","Reblochon"
"132","RO0000049","Maasdam"
"133","RO0000049","Cru Beaujolais 99"
"134","RO0000049","Swiss Emmental"
"135","RO0000049","Brut Reserva"
"136","RO0000050","Tinto Reserva 94"
"137","RO0000050","Malbec 99"
"138","RO0000051","Sangiovese 96"
"139","RO0000051","Manchego"
"140","RO0000052","Scotch Whiskey 18 años"
"141","RO0000053","Brut Chardonnay Blanc de Blancs"
"142","RO0000054","Cacciota"
"143","RO0000054","Grenache 96"
"144","RO0000054","Maasdam"
"145","RO0000055","Zinfandel 96"
"146","RO0000055","Gran Reserva 94"
"147","RO0000056","Merlot 97"
"148","RO0000056","Tinto Gran Reserva 91"
"149","RO0000057","Scotch Whiskey 15 años"
"150","RO0000057","Merlot 97"
"151","RO0000057","Tinto Gran Reserva 82"
"152","RO0000058","Tinto Gran Reserva 89"
"153","RO0000059","Tinto Reserva 94"
"154","RO0000059","Mature Cheddar"
"155","RO0000060","Reblochon"
"156","RO0000060","Chardonnay 98"
"157","RO0000060","Malbec 99"
"158","RO0000061","Chardonnay 98"
"159","RO0000062","Mozzarella di Bufala"
"160","RO0000062","Sauvignon Blanc 98"
"161","RO0000063","Tinto Reserva 95"
"162","RO0000063","Merlot 97"
"163","RO0000064","Tinto Reserva 94"
"164","RO0000064","Tinto Reserva 95"
"165","RO0000064","Tinto Reserva 93"
"166","RO0000065","Brut Rosé"
"167","RO0000065","Tinto Reserva 95"
"168","RO0000065","Provolone"
"169","RO0000065","Cacciota"
"170","RO0000066","Chablis Chardonnay 97/98"
"171","RO0000066","Lemon Puff"
"172","RO0000067","Bourgogne Rouge 97"
"173","RO0000067","Scotch Whiskey 15 años"
"174","RO0000067","Mahón"
"175","RO0000067","Brut Chardonnay Blanc de Blancs"
"176","RO0000067","Mozzarella di Bufala"
"177","RO0000068","Reserve Chardonnay 97"
"178","RO0000068","Chardonnay 98"
"179","RO0000068","Tinto Reserva 95"
"180","RO0000069","Tomme de Savoie"
"181","RO0000069","Maasdam"
"182","RO0000070","Raschera"
"183","RO0000071","Golden Semillon 97"
"184","RO0000071","Maasdam"
"185","RO0000072","Scotch Whiskey 18 años"
"186","RO0000073","Chenin Blanc 98"
"187","RO0000073","Scotch Whiskey 15 años"
"188","RO0000074","Chardonnay 98"
"189","RO0000074","Bordeaux 97"
"190","RO0000075","Swiss Gruyere"
"191","RO0000076","Tinto Gran Reserva 82"
"192","RO0000076","Scotch Whiskey 18 años"
